"Source:","C:\Users\tjori\Documents\GitHub\eib-drumcomputer\kicad\line-out\line-out\line-out.kicad_sch"
"Date:","16.09.2023 18:15:53"
"Tool:","Eeschema 7.0.2"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","17"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP"
"1","4","C1, C2, C3, C4","470nF","Device:C","","~",""
"2","1","J1","Input 1","Connector_Generic:Conn_01x02","","~",""
"3","1","J2","Input 2","Connector_Generic:Conn_01x02","","~",""
"4","1","J3","Output1","Connector_Generic:Conn_01x02","","~",""
"5","1","J4","Output2","Connector_Generic:Conn_01x02","","~",""
"6","2","R1, R3","3k6","Device:R","","~",""
"7","2","R2, R4","10k","Device:R","","~",""
"8","4","R5, R6, R7, R8","470k","Device:R","","~",""
"9","1","U1","TL074","Amplifier_Operational:TL074","","http://www.ti.com/lit/ds/symlink/tl071.pdf",""
